kind,name,control,seed,strength,resolution,status,eligible_ground_truth,continuous_determinant_lower_bound,independent_minimum_signed_area,independent_minimum_area_ratio,flip_count,global_injectivity_certificate,mu_p95,mu_max,supported_probability_min,supported_probability_max,unit_square_sampling_compatible,image_min,image_max,identity_max_error,positive_x_shift_max_error,pair_bilinear_oracle_max_error,sampling_tolerance,error
analytic,shear,33,,,,ok,True,1.0,0.00048828125,1.0,0,True,0.12403473458920845,0.12403473458920845,,,False,,,,,,,
analytic,rotation_stretch,33,,,,ok,True,0.9774999999999999,0.00047729492187499584,0.9774999999999915,0,True,0.15000000000000202,0.15000000000000488,,,False,,,,,,,
analytic,twist,33,,,,ok,True,1.0,0.00047792754234645383,0.9787956067255374,0,True,0.20857957332279667,0.2797561850952148,,,False,,,,,,,
analytic,sinusoidal_shear,33,,,,ok,True,1.0,0.00048828124999999827,0.9999999999999964,0,True,0.24227593148808044,0.24227593148808124,,,False,,,,,,,
analytic,local_compression,33,,,,ok,True,0.5625,0.00027614427709011065,0.5655434794805466,0,True,0.09420840829234312,0.09745817608271244,,,True,,,,,,,
analytic,local_expansion,33,,,,ok,True,0.888434919925785,0.0004505538463556872,0.9227342773364474,0,True,0.09355562916861664,0.09589195374072103,,,False,,,,,,,
analytic,boundary_sliding,33,,,,ok,True,0.6230088815692248,0.0003053840731098798,0.6254265817290339,0,True,0.23044622407523124,0.23044622407523124,,,True,,,,,,,
positive_tutte,directed_random,33,1701,0.25,,ok,True,,0.0001905090472145187,0.3901625286953343,0,True,0.2869274928717338,0.4951619605888927,0.07041499043149775,0.34413772254765224,True,,,,,,,
positive_tutte,directed_random,33,1702,0.25,,ok,True,,0.00020752614401734718,0.425013542947527,0,True,0.31305196569307303,0.5696592615143246,0.07486354470222474,0.39942732349872506,True,,,,,,,
positive_tutte,directed_random,33,1703,0.25,,ok,True,,0.00019493505507531503,0.3992269927942452,0,True,0.3032689884497835,0.5191456737153014,0.06582217538361039,0.4012326095602533,True,,,,,,,
positive_tutte,directed_random,33,1701,1.0,,ok,True,,5.001753186373969e-06,0.010243590525693888,0,True,0.8552401836381567,0.9815703980593353,0.0021261422730065095,0.8929680341175202,True,,,,,,,
positive_tutte,directed_random,33,1702,1.0,,ok,True,,5.415119595926608e-06,0.011090164932457694,0,True,0.8779942382210547,0.9821591755082841,0.0016147754987457306,0.9270199899004091,True,,,,,,,
