control,batch,layers,image_resolution,backend,dtype,device,warmup,repeats,seed,strength,threads,status,stage,host,commit,error,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,process_lifetime_hwm_bytes,throughput_samples_per_second,gradients_finite,mean_forward_seconds,mean_backward_seconds,mean_end_to_end_seconds,true_primal_relative_residual_max,flip_count_sum,minimum_signed_area,all_layer_sample_topology_certified,forward_methods,fallback_forward_layers,max_forward_iterations,max_forward_reported_relative_residual,adjoint_methods,fallback_adjoint_layers,max_adjoint_iterations,max_adjoint_reported_relative_residual,primary_failures,measured_primal_systems,measured_adjoint_systems,run_index,git_dirty,physical_gpu
25,4,2,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,66999808,92274688,1131208704,3.562193347142308,True,0.9987902902066708,0.12404737807810307,1.1229036748409271,9.641827461910995e-06,0,0.000531417889853004,True,unspecified,0,60,9.64419450610876e-06,unspecified,0,59,6.7704522734857164e-06,,16,16,45,False,6
25,4,2,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,266753536,339738624,1158684672,3.6059676322186585,True,0.9958258830010891,0.11337830126285553,1.1092722974717617,9.845347285762881e-06,0,0.0005314186647744643,True,unspecified,0,60,9.853100891632494e-06,unspecified,0,59,6.733111604262376e-06,,16,16,46,False,6
25,4,4,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,106212864,115343360,1139372032,1.6680475225207956,True,2.1399150639772415,0.2579939905554056,2.398013213649392,9.801585740072166e-06,0,0.0005102467969688725,True,unspecified,0,60,9.812412827159278e-06,unspecified,0,59,6.963712166907499e-06,,32,32,47,False,6
25,4,4,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,411872768,488636416,1183391744,1.8179091053441956,True,1.9859692174941301,0.2142831403762102,2.2003300320357084,9.885557107164818e-06,0,0.0005102452197087722,True,unspecified,0,60,9.885348845273256e-06,unspecified,0,59,6.8108374762232415e-06,,32,32,48,False,6
25,8,1,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,30056448,35651584,1102548992,7.8640513963743945,True,0.95476109161973,0.062457375228405,1.0172873493283987,9.838569643575313e-06,0,0.0005187713705012708,True,unspecified,0,60,9.827698704611976e-06,unspecified,0,59,6.802940333727747e-06,,16,16,49,False,6
25,8,1,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,114885632,174063616,1112043520,7.429450102598547,True,1.0132460948079824,0.06344426423311234,1.0767957102507353,9.730615897478691e-06,0,0.0005187738159211374,True,unspecified,0,60,9.734370905789547e-06,unspecified,0,59,6.780059266020544e-06,,16,16,50,False,6
25,8,2,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,132004352,171966464,1132363776,3.8745244109111088,True,1.9440283738076687,0.12067649699747562,2.0647695437073708,9.759347611880042e-06,0,0.0005187738159211374,True,unspecified,0,60,9.75920102064265e-06,unspecified,0,59,6.862612281111069e-06,,32,32,51,False,6
25,8,2,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,524958208,744488960,1158959104,4.0184340399025436,True,1.8917481396347284,0.09897122718393803,1.9908252619206905,9.791847257839516e-06,0,0.0005187730007811819,True,unspecified,0,60,9.793206118047237e-06,unspecified,0,59,6.8574395299947355e-06,,32,32,52,False,6
25,8,4,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,205026816,253755392,1139593216,1.8122262605588058,True,4.166928194463253,0.24746230617165565,4.414459813386202,9.858394525847024e-06,0,0.0005102475855989227,True,unspecified,0,60,9.864336789178196e-06,unspecified,0,59,6.993393071752507e-06,,64,64,53,False,6
25,8,4,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,815035904,1098907648,1183711232,1.897204312769168,True,3.9826149716973305,0.23400926776230335,4.216730874031782,9.860876176368773e-06,0,0.0005102452197087722,True,unspecified,0,60,9.869809218798764e-06,unspecified,0,59,6.946022494958015e-06,,64,64,54,False,6
33,1,1,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,14155776,25165824,1131474944,2.6694509618907447,True,0.2704405840486288,0.10409544967114925,0.3746088668704033,9.888322332393144e-06,0,0.00033893740287993523,True,unspecified,0,89,9.891868103295565e-06,unspecified,0,92,6.9309371610870585e-06,,2,2,55,False,6
33,1,1,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,55993344,65011712,1118818304,2.8772064737619845,True,0.2732691280543804,0.07421790435910225,0.34755934588611126,9.87813536576103e-06,0,0.00033893740287993523,True,unspecified,0,89,9.873679118754808e-06,unspecified,0,92,7.052376986393938e-06,,2,2,56,False,6
33,1,2,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,18804224,31457280,1137885184,1.2601342664712616,True,0.6532688457518816,0.14020809344947338,0.7935662306845188,9.860294785930568e-06,0,0.00030123689911532026,True,unspecified,0,89,9.861110811471008e-06,unspecified,0,92,7.540523711213609e-06,,4,4,57,False,6
33,1,2,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,75099648,92274688,1181159424,1.4756573287459316,True,0.5398761704564095,0.137722572311759,0.677664102986455,9.848537674371786e-06,0,0.00030123689911532026,True,unspecified,0,89,9.841961400525179e-06,unspecified,0,92,7.475505753973266e-06,,4,4,58,False,6
33,1,4,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,28237312,35651584,1153011712,0.7243898207086225,True,1.1010673884302378,0.27934365160763264,1.3804721869528294,9.883044331316184e-06,0,0.0002798358066042894,True,unspecified,0,89,9.882588528853375e-06,unspecified,0,93,7.5689081313612405e-06,,8,8,59,False,6
33,1,4,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,112713216,134217728,1189773312,0.6370624973433773,True,1.273553978651762,0.29605773836374283,1.56970470584929,9.892338524782179e-06,0,0.0002798358066042894,True,unspecified,0,89,9.893937203742098e-06,unspecified,0,93,7.382525382126914e-06,,8,8,60,False,6
33,4,1,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,20638720,23068672,1103499264,4.165677884653323,True,0.8671560138463974,0.09299640543758869,0.960227869451046,9.894531181368795e-06,0,0.00031278827056180347,True,unspecified,0,89,9.890551154967397e-06,unspecified,0,92,6.987176220718538e-06,,8,8,61,False,6
33,4,1,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,81350656,102760448,1115226112,4.112699589825425,True,0.8827745337039232,0.08973659947514534,0.972597174346447,9.806141341779224e-06,0,0.0003127901526855936,True,unspecified,0,90,9.809709808905609e-06,unspecified,0,92,6.950509032321861e-06,,8,8,62,False,6
33,4,2,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,67303936,92274688,1132806144,2.084444020113012,True,1.7404180467128754,0.1784933339804411,1.9189769364893436,9.873165407306855e-06,0,0.0003012201145323745,True,unspecified,0,90,9.870282156043686e-06,unspecified,0,92,7.5494781412999146e-06,,16,16,63,False,6
